Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDO27,OUT035,1508.63622
DRL23,OUT027,2628.31208
FDS28,OUT046,980.12418
FDX24,OUT013,1263.3555
FDZ02,OUT035,1487.3306200000002
FDL46,OUT045,1393.3196599999999
FDS60,OUT027,5425.40446
NCO06,OUT017,622.12352
FDO16,OUT035,1498.24974
FDC60,OUT049,1036.85034
FDA48,OUT018,3781.3445199999996
FDZ36,OUT027,3966.90298
FDK27,OUT045,1660.90468
FDW23,OUT018,458.86936000000003
FDM14,OUT018,1595.2567999999999
FDM14,OUT013,2421.3814399999997
FDW60,OUT018,2495.35182
FDE21,OUT013,3226.6665399999997
NCM42,OUT035,1830.41736
FDY59,OUT010,1145.8418000000001
DRI49,OUT049,1380.5363000000002
FDT28,OUT019,285.16214
FDQ22,OUT018,386.29715999999996
FDR60,OUT049,1361.1615199999999
FDC50,OUT019,560.73676
FDV24,OUT013,2338.3561799999998
DRF48,OUT010,1913.70894
FDQ47,OUT046,688.9032599999999
DRN36,OUT049,1458.102
NCY06,OUT035,1985.4155999999998
FDE52,OUT035,1567.1600400000002
NCB54,OUT045,2045.6039200000002
NCF31,OUT035,2361.65918
FDJ08,OUT027,5273.4689
NCC07,OUT017,1448.9139599999999
NCD19,OUT027,2000.9953200000004
FDL46,OUT049,2175.30176
FDM20,OUT045,4254.59516
NCI06,OUT010,2459.66494
DRM11,OUT035,4336.88804
NCH07,OUT018,2200.33584
FDS23,OUT013,2215.58266
FDO49,OUT018,612.80232
FDS35,OUT049,751.8879400000001
DRK39,OUT045,1615.5637000000002
DRI39,OUT049,622.7893200000001
FDV04,OUT017,2537.09748
NCN14,OUT035,2301.93692
FDH08,OUT013,3946.6626599999995
FDS20,OUT046,2930.9847600000003
FDV40,OUT049,1010.8841399999999
FDZ48,OUT010,1102.09874
FDS24,OUT027,1773.0253999999998
FDK44,OUT049,1874.49332
FDS48,OUT045,1751.4534800000001
FDK26,OUT010,2798.0245
FDD23,OUT045,2678.3136600000003
NCH54,OUT017,2292.0165
NCP14,OUT010,1386.7948199999998
FDM60,OUT010,571.52272
FDV24,OUT017,2497.7487
FDH08,OUT018,2877.98708
FDS12,OUT027,1922.8304000000003
FDR39,OUT027,5582.2669399999995
FDP12,OUT027,701.0874
DRF60,OUT027,6258.52
FDC09,OUT035,1863.4410400000002
FDF50,OUT018,3219.54248
FDG28,OUT035,4216.71114
NCE19,OUT017,684.84188
NCM53,OUT010,1789.2709200000002
NCN18,OUT049,1256.63092
FDF32,OUT035,2867.73376
FDF11,OUT013,4310.122880000001
DRI59,OUT049,2923.79412
NCG54,OUT035,3201.8322
FDM44,OUT046,1223.3409199999999
FDT57,OUT018,3095.90342
FDV24,OUT046,1703.18298
FDI50,OUT019,1579.81024
FDS09,OUT035,859.4146399999997
NCC31,OUT027,3499.0453199999997
FDQ07,OUT019,1225.20516
FDC22,OUT017,3309.2257400000003
FDZ56,OUT046,2024.49806
FDZ40,OUT019,179.766
FDS46,OUT027,2928.72104
DRD24,OUT045,1921.69854
FDV45,OUT017,3181.7916200000004
FDL26,OUT045,2296.81026
FDA56,OUT018,1710.8396800000003
FDN27,OUT046,2376.2402
FDM20,OUT049,3825.4204799999998
FDO16,OUT017,1174.4046199999998
FDL03,OUT035,2725.9849400000003
FDE58,OUT046,2139.4817199999998
FDI02,OUT027,2751.6848199999995
NCC55,OUT019,473.45037999999994
FDR03,OUT018,3583.8016599999996
FDB14,OUT017,1292.85044
FDR45,OUT013,4912.938199999999
NCN07,OUT017,2218.7785
FDM51,OUT019,1073.2696
FDT52,OUT027,6924.919220000001
FDL26,OUT046,1699.52108
NCZ42,OUT046,3179.72764
DRI47,OUT019,349.21209999999996
FDW40,OUT013,2978.3231399999995
FDN34,OUT046,1805.18354
FDS01,OUT035,2861.54182
NCG55,OUT045,2169.2429799999995
FDC11,OUT035,1291.9849000000002
FDX35,OUT018,3272.7399
NCB06,OUT046,2624.4504399999996
FDR09,OUT019,3035.44878
FDC53,OUT017,1574.75016
FDY45,OUT013,4753.8785800000005
FDA22,OUT010,2345.2805
FDE02,OUT035,1385.99586
FDW21,OUT045,1603.7124600000002
FDV34,OUT046,917.2060800000002
FDS59,OUT049,1629.2126
NCW17,OUT017,2494.9523400000003
NCK54,OUT046,1933.8161
FDG17,OUT019,2867.73376
FDG35,OUT017,2785.9735200000005
FDD08,OUT010,616.3976399999999
NCO07,OUT017,3411.49262
FDJ10,OUT010,2804.81566
FDW36,OUT017,1985.5487600000001
FDW21,OUT010,1740.4677799999997
FDY19,OUT017,2386.29378
DRE03,OUT013,856.95118
NCC55,OUT049,617.59608
FDH52,OUT010,643.09622
FDO09,OUT017,3736.0701200000003
FDU43,OUT045,3698.3192599999993
FDX09,OUT010,2193.67784
FDH40,OUT019,1529.8752399999998
FDW58,OUT017,1464.3605200000002
FDC47,OUT017,4981.249280000001
NCR41,OUT035,1576.54782
DRG49,OUT035,4119.3045999999995
FDC52,OUT027,3724.08572
FDY13,OUT046,1156.02854
FDY35,OUT013,748.1594600000001
FDI35,OUT017,4092.139959999999
NCU18,OUT049,1927.5575800000001
FDY33,OUT018,2414.72344
FDC15,OUT027,4266.91246
FDU01,OUT049,3494.7176200000004
NCU42,OUT046,2775.98652
NCV29,OUT018,2825.1891400000004
NCY30,OUT017,2173.97016
FDQ46,OUT049,2068.57402
FDG58,OUT027,3169.5409
FDK33,OUT017,3430.6010799999995
NCD07,OUT045,2192.8123
NCX29,OUT027,4542.02102
NCT42,OUT013,2332.36398
DRN59,OUT035,690.5677600000001
FDI44,OUT035,1254.7666800000002
FDA45,OUT049,1491.392
FDP31,OUT045,856.61828
FDY01,OUT046,1847.79474
FDT09,OUT018,2214.5173800000002
DRH03,OUT027,2553.2764199999997
FDA36,OUT018,2762.7371000000003
NCF31,OUT017,2572.9840999999997
FDG14,OUT049,2948.96136
FDG28,OUT027,6323.6352400000005
FDU14,OUT049,3323.6736000000005
FDY47,OUT019,2269.24614
FDI56,OUT049,950.0966000000001
DRD01,OUT013,1147.6394599999999
FDM22,OUT046,613.0686400000001
FDH33,OUT013,991.57594
DRZ24,OUT013,1829.55182
NCQ38,OUT046,1440.52488
FDO16,OUT027,2469.4522
FDU07,OUT027,3565.5587399999995
NCB07,OUT013,2122.70356
FDU48,OUT045,1956.0538199999999
NCM43,OUT045,2558.3365
FDR31,OUT010,2123.10304
DRK49,OUT018,588.5672
NCI30,OUT010,3130.3918599999993
DRD60,OUT017,4338.08648
NCG19,OUT046,3672.5528000000004
FDH12,OUT035,1985.2158599999998
FDM32,OUT035,1440.7912000000001
FDM27,OUT035,3270.01012
NCU53,OUT027,4060.98052
NCQ18,OUT046,1408.89938
FDS10,OUT013,2948.76162
FDB33,OUT027,4068.5040599999993
FDI12,OUT013,1122.2059000000002
NCW42,OUT013,4726.38104
NCC06,OUT018,2261.4562799999994
FDW02,OUT017,1838.14064
NCD43,OUT017,1587.4669399999998
FDM57,OUT018,1083.72266
FDA58,OUT017,3751.7830000000004
FDK56,OUT046,2179.5628800000004
FDP52,OUT045,3011.9460400000003
FDW20,OUT018,1862.44234
FDS52,OUT049,906.7530199999999
NCT29,OUT018,1656.44382
NCL54,OUT013,4440.75284
FDC05,OUT045,2408.13202
FDF34,OUT035,3095.83684
FDP03,OUT027,3181.99136
FDD32,OUT010,927.9920400000001
FDZ10,OUT045,1724.7549
FDZ40,OUT035,777.4546600000001
FDD51,OUT018,572.2551000000001
NCY30,OUT019,2517.45638
FDP58,OUT017,2618.5914
FDV49,OUT017,3911.17552
FDY24,OUT019,519.52374
NCO55,OUT017,1591.46174
FDR13,OUT017,1644.1931000000004
FDS51,OUT017,1206.4296
FDP26,OUT045,1343.71756
NCB54,OUT027,3059.0181
FDF32,OUT017,3396.3789600000005
FDN31,OUT018,2160.9870600000004
DRM48,OUT017,367.38844
FDN20,OUT049,2386.1606199999997
DRL01,OUT046,3269.4109
FDV56,OUT049,1500.44688
DRH13,OUT027,2515.2592400000003
FDA03,OUT017,2820.3288000000002
FDF47,OUT027,3401.305880000001
FDX32,OUT046,2337.4240600000003
FDX57,OUT049,1712.57076
NCA30,OUT045,3634.9351
FDO49,OUT013,877.7241399999999
FDL04,OUT019,347.08154
DRM48,OUT035,545.2902000000001
FDR16,OUT013,2910.47812
NCC19,OUT018,3453.30486
NCE42,OUT045,2892.10204
FDY24,OUT017,642.43042
FDH19,OUT049,1974.16358
FDJ46,OUT013,3131.2574
FDN45,OUT010,2570.0545800000004
FDY08,OUT035,1988.4116999999999
FDZ37,OUT035,1336.66008
NCT30,OUT045,711.93994
DRY23,OUT018,692.96464
NCZ30,OUT018,1768.63112
FDC44,OUT018,1519.1558599999998
FDB45,OUT035,1462.4962799999998
FDY04,OUT013,2538.0295999999994
FDM27,OUT046,2389.0901400000002
FDZ43,OUT017,4810.53816
FDT39,OUT019,982.45448
NCC06,OUT019,734.7103000000001
FDL15,OUT027,3711.63526
FDL57,OUT017,3744.4592000000002
FDU08,OUT046,1239.58644
FDK40,OUT017,3335.0587800000003
FDQ12,OUT010,2639.29778
FDS48,OUT017,2228.36602
FDP09,OUT045,3620.1543399999996
FDW21,OUT049,1611.0362599999999
FDY25,OUT035,3921.229099999999
DRE13,OUT017,1592.32728
FDV43,OUT019,75.96778
FDD22,OUT045,1625.1512200000002
FDM46,OUT019,1443.1214999999997
NCO30,OUT010,2744.69392
FDM25,OUT046,1581.00868
NCN41,OUT049,2295.6118200000005
FDU24,OUT045,1276.40518
FDZ50,OUT046,3267.01402
FDP45,OUT013,4378.167640000001
NCM54,OUT045,1635.00506
FDW10,OUT019,2121.63828
FDP20,OUT017,2260.92364
FDK32,OUT046,2562.26472
FDN52,OUT049,1187.32114
FDM58,OUT045,1651.38374
FDZ46,OUT027,3709.03864
NCA18,OUT018,1625.9501799999998
FDD35,OUT046,1902.59008
NCK31,OUT035,800.42476
FDI40,OUT027,2846.1618399999998
FDT50,OUT019,708.87726
NCT06,OUT046,1745.4612800000002
FDT31,OUT035,3594.7207800000006
FDT45,OUT049,824.32698
FDT13,OUT045,2331.2987000000003
FDO50,OUT045,1306.6325000000002
NCU18,OUT010,1620.09114
NCR54,OUT049,2931.9168799999998
NCO18,OUT018,2935.5122
FDU09,OUT045,659.20858
FDT13,OUT018,3284.4579800000006
FDE09,OUT046,1652.71534
NCK53,OUT019,914.07682
FDG45,OUT049,2991.8388800000002
DRH15,OUT035,552.21452
FDO21,OUT019,2458.66624
FDD14,OUT027,4832.642719999999
FDC09,OUT046,1212.55496
FDH45,OUT027,1115.8807999999997
FDV32,OUT046,806.6166999999999
FDG12,OUT035,2578.90972
FDS32,OUT013,2625.31598
NCL55,OUT018,3198.8361
DRE01,OUT035,4150.3308799999995
DRE15,OUT049,1145.64206
NCL42,OUT045,4714.66296
FDP31,OUT013,998.1673600000001
FDN33,OUT018,1443.32124
FDZ59,OUT046,3177.13102
FDE45,OUT010,1543.39098
FDJ07,OUT013,1572.3532799999998
FDQ45,OUT018,2738.23566
FDM33,OUT027,4608.93392
FDO15,OUT010,762.60732
FDM46,OUT013,1382.7334399999997
FDR03,OUT045,3575.6123199999993
FDY49,OUT018,1796.1952399999998
FDQ60,OUT045,2300.8050599999997
FDW10,OUT049,1711.5054799999998
FDO51,OUT049,674.72172
FDJ40,OUT018,1310.76046
FDS20,OUT018,2493.7539
FDU45,OUT013,3321.6762000000003
FDV02,OUT035,2957.4836
FDN09,OUT046,3316.6827
NCM55,OUT027,5465.95168
FDN23,OUT018,2399.8761
FDY31,OUT010,2438.22618
FDW03,OUT010,1307.89752
FDD14,OUT046,2373.9098999999997
FDV23,OUT017,2304.06748
DRI03,OUT045,2272.5085600000007
FDN13,OUT035,1670.69194
FDF45,OUT027,1593.9917799999998
FDU46,OUT035,1285.52664
FDB57,OUT049,2483.63374
FDV12,OUT049,1406.8354000000002
FDQ58,OUT013,1865.97108
NCA18,OUT017,2038.21354
FDH52,OUT049,846.2317999999999
FDM24,OUT018,2203.06562
NCP43,OUT027,5713.629280000001
NCO18,OUT019,2524.84676
FDM32,OUT017,1265.02
NCL07,OUT017,682.97764
FDK03,OUT013,6183.55092
FDP59,OUT017,1603.9122
FDQ24,OUT049,2765.0008199999997
FDQ16,OUT018,1403.37324
FDU44,OUT013,3423.8765
FDH28,OUT010,304.47034
FDV28,OUT019,308.86462000000006
FDM22,OUT045,874.1954
FDR56,OUT046,2675.9833599999997
FDV39,OUT049,3224.0699200000004
FDU37,OUT019,924.99594
FDQ11,OUT010,3765.2987399999997
FDX02,OUT045,3284.9906200000005
NCS42,OUT018,1225.7378
FDY57,OUT027,2282.0960800000003
FDB21,OUT049,3898.6584799999996
FDE28,OUT017,2738.90146
FDQ55,OUT017,1757.712
FDA48,OUT049,2951.2250799999997
FDZ19,OUT045,3029.3234199999997
NCC43,OUT045,4273.23756
NCV18,OUT046,1189.98434
NCA42,OUT018,2339.75436
FDY45,OUT046,4079.4231800000002
NCC30,OUT045,2848.09266
FDM57,OUT013,1991.8738600000001
FDL09,OUT010,1264.22104
FDB09,OUT027,3602.1111600000004
FDT44,OUT035,2089.41356
NCT06,OUT027,4042.1383800000003
FDX26,OUT049,2786.2398399999997
FDK32,OUT013,2518.3885
DRA12,OUT046,1589.99698
FDO46,OUT010,2260.99022
FDE52,OUT013,1322.0124799999999
NCH42,OUT045,3650.38166
FDV08,OUT035,591.76304
FDB47,OUT018,3065.8758399999997
FDC28,OUT010,1134.1902999999998
FDD22,OUT046,1994.13758
FDS07,OUT027,3494.1183999999994
DRI13,OUT045,2742.0973000000004
FDG32,OUT018,3455.1025199999995
FDU14,OUT017,3741.1967799999998
FDD28,OUT019,563.53312
NCP41,OUT017,1337.5921999999998
FDS08,OUT049,2436.4285200000004
FDX47,OUT045,2219.17798
FDC53,OUT019,882.7176400000001
FDQ19,OUT035,4294.94264
FDL14,OUT045,2460.7967999999996
FDM33,OUT019,3237.7853999999998
FDA51,OUT045,2064.51264
FDZ27,OUT018,669.7282200000001
FDT04,OUT046,530.24312
DRC13,OUT049,1640.93068
FDR16,OUT027,3902.18722
FDQ03,OUT027,5562.82558
FDE38,OUT035,2295.3455000000004
DRH23,OUT027,2089.2804000000006
FDT11,OUT019,1604.4448399999999
FDD09,OUT035,2759.47468
FDR40,OUT045,1453.6411400000002
FDX07,OUT017,2956.95096
FDR07,OUT035,1710.1073000000001
FDA51,OUT017,1522.4182799999999
FDT59,OUT019,2639.6306799999998
FDF20,OUT017,2378.2376
FDR13,OUT045,1941.67254
FDY26,OUT049,3327.26892
FDW04,OUT017,1924.7612199999999
FDK52,OUT017,4054.92174
FDN60,OUT049,2367.11874
FDM09,OUT019,1825.02438
FDP46,OUT049,1659.70624
FDB50,OUT019,822.5958999999999
NCQ29,OUT049,3064.4776600000005
FDP16,OUT027,6323.6352400000005
FDX33,OUT018,1942.27176
FDP07,OUT010,2002.3935000000001
FDN22,OUT046,4273.30414
FDF39,OUT049,3983.0153399999995
FDS21,OUT017,751.1555599999999
NCM42,OUT013,2145.4739199999995
FDK50,OUT019,2234.82428
DRF13,OUT027,3233.25796
FDH35,OUT018,2441.4885999999997
FDP60,OUT018,1551.6469000000002
DRJ49,OUT027,2691.36334
NCT42,OUT019,688.5703599999999
FDE38,OUT049,2331.8313399999997
FDI04,OUT049,2503.34142
NCH54,OUT045,2725.98494
FDT56,OUT049,517.9924
DRD15,OUT018,3273.33912
FDV58,OUT013,2400.8748
FDP21,OUT049,2650.2834799999996
FDH05,OUT013,4010.8457800000006
FDR10,OUT027,3315.0847799999997
NCP06,OUT045,2381.5666
FDF33,OUT049,1449.7129200000002
DRK37,OUT013,3565.6253200000006
DRH49,OUT045,1284.8608399999998
FDT58,OUT013,3981.3508400000005
FDD41,OUT018,1436.72982
FDP40,OUT018,1479.4076
FDM51,OUT027,2641.36176
FDO45,OUT010,1379.6707600000002
FDW33,OUT010,785.644
FDY24,OUT045,852.95638
FDB10,OUT010,3029.3234199999997
FDM40,OUT035,2023.3662
NCI06,OUT017,2698.5539799999997
FDW12,OUT019,1395.1839
FDX48,OUT027,4237.01804
NCW05,OUT027,2542.29072
FDX27,OUT017,1520.95352
DRM37,OUT045,2675.38414
FDA38,OUT045,3739.9983400000006
FDR36,OUT046,761.7417800000001
FDZ45,OUT046,2451.27586
FDG05,OUT017,2460.59706
FDK28,OUT013,5208.020759999999
FDV47,OUT045,1555.8414400000004
FDN21,OUT045,2698.02134
FDP20,OUT027,2950.02664
FDI35,OUT045,3614.42846
DRY23,OUT013,927.72572
FDA56,OUT017,1925.0275400000003
FDB09,OUT013,3246.30764
NCO26,OUT027,2431.70134
FDQ49,OUT018,2338.88882
FDI52,OUT027,3057.61992
FDZ44,OUT027,3019.9356400000006
FDZ09,OUT018,2429.57078
FDY03,OUT049,1687.53668
NCG42,OUT017,2434.63086
DRI13,OUT027,3775.2857400000003
FDQ32,OUT013,2552.2777199999996
FDW16,OUT035,1087.9171999999999
FDU27,OUT046,508.27172
FDR28,OUT010,3202.43142
FDQ49,OUT010,2031.1560599999998
FDS37,OUT046,1331.9329
FDW26,OUT018,3366.6177000000002
FDX12,OUT018,3994.3339399999995
NCP06,OUT013,2770.4603799999995
FDW45,OUT010,2400.94138
NCN30,OUT049,1306.56592
FDN24,OUT049,886.77902
NCL41,OUT027,910.61466
FDR02,OUT019,994.6386200000001
FDD09,OUT010,2438.0930199999993
FDS33,OUT010,1201.1032
FDU22,OUT045,1862.5755000000001
FDI53,OUT013,2941.70414
DRH01,OUT049,2033.75268
FDX32,OUT013,2958.88178
NCP30,OUT018,505.0093
FDB60,OUT045,2923.6609599999997
FDB14,OUT049,950.8955600000002
NCP02,OUT035,753.15296
FDJ10,OUT017,2507.13648
FDG34,OUT046,1261.42468
NCB18,OUT017,1258.6949
FDM16,OUT049,793.5670200000001
FDW25,OUT018,1411.0299400000001
FDB35,OUT010,1401.6421599999999
DRN11,OUT013,2589.89542
FDF41,OUT019,4926.38736
FDH16,OUT045,1326.4067600000003
NCQ50,OUT018,3502.17458
DRH23,OUT018,812.87522
DRJ37,OUT013,1919.9674599999998
DRJ24,OUT027,6129.28822
FDY16,OUT035,3175.2002
FDQ27,OUT045,1756.4469800000002
FDZ33,OUT045,2492.88836
FDF29,OUT045,1819.09876
FDA08,OUT049,3604.2417199999995
FDG31,OUT046,767.7339800000001
FDE34,OUT019,642.497
NCR30,OUT027,1360.76204
FDV33,OUT035,3707.77362
DRZ24,OUT018,1784.8100600000002
NCL54,OUT035,2951.8243
FDR12,OUT049,2319.18114
NCC54,OUT046,2920.33196
DRN59,OUT013,778.18704
FDX50,OUT019,778.7862600000001
FDV31,OUT027,4342.0147
NCA29,OUT027,5341.91314
FDW60,OUT049,2089.4135599999995
FDX08,OUT017,3574.14756
DRD49,OUT013,5998.858
FDD33,OUT046,2382.6984599999996
FDW35,OUT013,602.2161
FDJ36,OUT017,1715.4337
FDV51,OUT035,3518.0872000000004
FDW36,OUT046,1969.03692
FDH35,OUT046,1625.61728
NCS30,OUT027,2657.8736
FDN49,OUT017,479.10968
FDL08,OUT018,2895.2978799999996
FDI09,OUT013,4239.015439999999
FDP19,OUT018,2275.63782
FDU21,OUT010,611.3375599999999
NCP41,OUT045,1514.89474
FDY10,OUT013,2249.87136
FDP12,OUT018,467.25843999999995
NCN26,OUT049,1916.5053
FDK44,OUT013,3105.15804
FDC28,OUT049,1485.7327
FDJ41,OUT027,5906.84444
NCT29,OUT035,1984.7498
NCH42,OUT019,2271.50986
FDU60,OUT018,2405.00276
FDS02,OUT045,3116.2103199999997
FDC51,OUT046,1945.26786
FDU03,OUT013,3350.0392799999995
FDX39,OUT045,2995.1013
NCY05,OUT010,583.3739600000001
NCL06,OUT027,6487.4220399999995
FDD32,OUT035,1184.92426
NCN41,OUT045,2418.45192
NCX53,OUT049,1709.1086
FDU57,OUT019,1037.1166600000001
FDQ23,OUT046,1549.6495
FDQ52,OUT045,4462.39134
FDC14,OUT045,604.6129800000001
FDY09,OUT035,2891.8357199999996
FDQ28,OUT045,2046.5360400000002
FDV25,OUT046,3165.41294
FDJ07,OUT035,2038.3467
DRB25,OUT049,975.5301599999999
FDK52,OUT019,2798.82346
FDY52,OUT027,1633.9397800000002
FDB28,OUT046,2711.6702399999995
FDT36,OUT035,479.50915999999995
FDV25,OUT017,4097.0003
NCN07,OUT027,2520.1195799999996
FDC57,OUT017,3406.4325400000002
FDQ03,OUT018,3069.60432
FDU23,OUT017,2722.8556799999997
NCX41,OUT035,4016.97114
NCD06,OUT035,619.99296
FDW08,OUT045,1803.05298
NCU29,OUT017,2541.09228
NCE06,OUT013,2662.26788
FDV52,OUT010,1294.11546
FDB02,OUT017,2781.1131800000003
NCR18,OUT045,788.57352
FDK16,OUT049,1153.8979800000002
NCQ29,OUT010,2498.8805600000005
FDZ01,OUT019,1057.6233
FDW27,OUT035,2349.8079399999997
FDD17,OUT018,3724.8181000000004
FDW39,OUT013,3008.01782
DRH59,OUT045,1098.5700000000002
FDS52,OUT013,1410.29756
FDU40,OUT027,5855.91074
NCF54,OUT013,3096.9021199999997
FDH46,OUT045,1672.28986
NCP14,OUT049,2496.7499999999995
FDH50,OUT049,2872.19462
DRF15,OUT010,1109.08964
FDV27,OUT027,2241.0827999999997
NCJ06,OUT049,2433.29926
FDN02,OUT018,4770.25726
FDQ51,OUT049,551.41556
FDQ07,OUT017,3288.58594
FDS45,OUT049,1475.2130599999998
NCJ06,OUT045,2371.77934
FDD36,OUT035,1704.7143199999998
FDY25,OUT045,2561.9318200000002
FDU52,OUT046,1889.8067199999998
DRK47,OUT017,3353.7677599999997
NCL30,OUT017,2316.91742
FDN22,OUT035,3258.02572
NCF30,OUT027,3276.93444
FDK03,OUT035,4181.5569000000005
FDT45,OUT017,809.8791200000001
NCC54,OUT027,6541.88448
FDP08,OUT018,2763.07
FDU44,OUT046,3882.8790199999994
DRG39,OUT035,920.0690199999999
FDU32,OUT049,1747.92474
FDY27,OUT049,2000.729
NCP54,OUT013,3456.1012199999996
NCZ41,OUT049,2407.13332
DRL49,OUT013,2897.49502
FDI05,OUT018,1257.3633
FDY56,OUT045,2499.01372
DRC13,OUT013,2565.12766
NCV29,OUT017,2996.23316
FDR24,OUT049,1320.54772
FDZ34,OUT018,3679.5436999999997
FDP37,OUT035,2165.7142400000002
FDX08,OUT027,4364.58532
FDS57,OUT045,2246.7421000000004
NCG18,OUT049,1332.19922
FDK25,OUT018,2397.67896
FDH53,OUT049,1373.2125
DRI59,OUT018,3947.3284599999997
FDA52,OUT046,1969.1035
FDT20,OUT010,486.16715999999997
FDE36,OUT019,2781.51266
FDI24,OUT017,2377.17232
FDB28,OUT018,3594.6542
FDV11,OUT017,3298.1068800000003
FDP01,OUT046,1283.59582
FDD34,OUT027,3003.49038
FDJ50,OUT027,1800.3232
FDZ44,OUT013,1904.9203799999996
DRO59,OUT035,1595.05706
DRB48,OUT045,584.4392399999999
FDR21,OUT018,3236.85328
NCE42,OUT010,2937.1101200000003
FDO23,OUT046,1048.4352600000002
NCE30,OUT018,3849.1895399999994
FDQ22,OUT035,553.08006
FDY01,OUT045,1769.3635000000002
FDS08,OUT017,2196.3410400000002
FDG28,OUT018,3677.0136599999996
FDQ51,OUT018,663.2033800000002
FDB05,OUT017,4102.726180000001
FDO56,OUT049,1432.2689599999999
FDE02,OUT018,1233.1947599999999
FDN45,OUT017,3599.6477
FDS09,OUT013,659.87438
NCA54,OUT018,2252.93404
FDP09,OUT010,3172.537
FDC53,OUT045,1396.1825999999999
NCM55,OUT017,3280.66292
FDL09,OUT018,2627.84602
FDA11,OUT019,833.11554
FDA50,OUT045,1072.73696
FDC23,OUT017,2782.5113599999995
FDE22,OUT049,2101.66428
FDD23,OUT046,2323.37568
NCA29,OUT049,2848.9582
